,id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating
16431,935592943894746114,Rental unit in Toronto · ★5.0 · 2 bedrooms · 3 beds · 2 baths,31864686,Annex,43.6703938,-79.3943028,Entire home/apt,495.0,3,21,2024-01-04,3.82,1,149,21,5.0
16432,935614811720034662,Rental unit in Toronto · ★4.75 · 1 bedroom · 1 bed · 1 bath,475362288,Niagara,43.63637,-79.40631,Entire home/apt,171.0,2,67,2023-12-21,11.96,1,0,67,4.75
16433,935632332729866007,Rental unit in Toronto · ★4.94 · 3 bedrooms · 6 beds · 2 baths,525723480,Trinity-Bellwoods,43.64850772132221,-79.40649095,Entire home/apt,410.0,3,17,2023-12-14,4.43,1,135,17,4.94
16434,935643228222733696,Home in Toronto · ★4.89 · 5 bedrooms · 6 beds · 3.5 baths,500712694,The Beaches,43.67806397773409,-79.29064292,Entire home/apt,1499.0,3,18,2023-12-19,3.16,1,355,18,4.89
16435,935727299925816210,Home in Toronto · ★5.0 · 1 bedroom · 1 bed · 2 shared baths,525746459,York University Heights,43.76072,-79.49562,Private room,75.0,1,4,2023-09-04,0.77,5,89,4,5.0
16436,935893042801263782,Home in Toronto · ★4.80 · 2 bedrooms · 2 beds · 1 bath,525274458,Banbury-Don Mills,43.7416097,-79.3484648,Entire home/apt,2918.0,1,10,2023-12-28,2.07,1,4,10,4.8
16437,936094881610665141,Condo in Toronto · ★5.0 · 1 bedroom · 2 beds · 1 bath,525830257,Bay Street Corridor,43.66234010000002,-79.38592271,Entire home/apt,306.0,1,16,2023-12-27,2.74,1,364,16,5.0
16438,936159311456121943,Rental unit in Toronto · ★5.0 · 1 bedroom · 1 bed · 1 private bath,29003996,Waterfront Communities-The Island,43.64629,-79.39753,Private room,147.0,1,8,2023-10-29,1.85,2,20,8,5.0
16439,936164633333873900,Rental unit in Toronto · ★5.0 · 1 bedroom · 1 bed · 1 bath,137406673,Waterfront Communities-The Island,43.64127648667261,-79.38249675,Entire home/apt,129.0,28,3,2023-11-25,0.66,2,179,3,5.0
16440,936184315259422316,Home in Toronto · ★5.0 · 1 bedroom · 1 bed · 1 bath,50227423,Tam O'Shanter-Sullivan,43.79201119593839,-79.28802679,Private room,56.0,1,5,2023-10-13,1.15,10,270,5,5.0
16441,936197311784736226,Rental unit in Toronto · 2 bedrooms · 2 beds · 1 bath,525866275,East End-Danforth,43.68134941173725,-79.28985672,Entire home/apt,120.0,30,0,,0.625,1,364,0,4.85
16442,936200205099261801,Home in Toronto · 3 bedrooms · 3 beds · 2.5 baths,77511468,South Riverdale,43.66246624,-79.34679341,Entire home/apt,275.0,31,0,,0.625,7,263,0,2.5
16443,936241913038048475,Rental unit in Toronto · 1 bedroom · 1 bed · 1 bath,77511468,Roncesvalles,43.64712,-79.44278,Entire home/apt,175.0,31,0,,0.625,7,263,0,4.85
16444,936255401258534650,Rental unit in Toronto · ★5.0 · 1 bedroom · 2 beds · 1 bath,68365913,Niagara,43.63773258492366,-79.4046585,Entire home/apt,281.0,1,11,2023-11-12,2.46,1,0,11,5.0
16445,936259626641406823,Rental unit in Toronto · 1 bedroom · 1 bed · 1 bath,413292182,North St.James Town,43.66967744706526,-79.37400237,Entire home/apt,120.0,28,0,,0.625,1,365,0,4.85
16446,936279371091836290,Home in Toronto · ★4.67 · 1 bedroom · 1 bed · 2 shared baths,525746459,York University Heights,43.7598344,-79.4945771,Private room,70.0,1,9,2024-01-01,1.71,5,90,9,4.67
16447,936321559800481634,Rental unit in Toronto · ★5.0 · 3 bedrooms · 4 beds · 2.5 baths,7677238,Waterfront Communities-The Island,43.639469370757965,-79.39709841,Entire home/apt,295.0,2,31,2024-01-08,5.5,4,0,31,5.0
16448,936348285488212266,Rental unit in Toronto · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,525912425,Mount Pleasant West,43.70748,-79.39632,Private room,115.0,28,4,2023-10-31,1.03,1,127,4,5.0
16449,936366030721797780,Rental unit in Toronto · 2 bedrooms · 2 beds · 2 baths,5244098,Yonge-St.Clair,43.68819671751206,-79.40168157,Entire home/apt,140.0,28,0,,0.625,2,364,0,4.85
